date,temperature,humidity,luminosity
2021-11-17 15:45:27.581,19.2,26.7,77
2021-11-17 15:45:25.303,19.2,26.7,74
2021-11-17 15:45:23.030,19.2,26.7,74
2021-11-17 15:45:20.752,19.2,26.7,74
2021-11-17 15:45:18.479,19.2,26.8,74
2021-11-17 15:45:16.201,19.2,26.8,74
2021-11-17 15:45:13.927,19.2,26.9,74
2021-11-17 15:45:11.650,19.2,26.9,74
2021-11-17 15:45:09.376,19.2,27.0,75
2021-11-17 15:45:07.098,19.2,27.0,75
2021-11-17 15:45:04.821,19.2,27.1,77
2021-11-17 15:45:02.547,19.2,27.1,82
2021-11-17 15:45:00.270,19.2,27.1,98
2021-11-17 15:44:57.996,19.2,27.2,194
